CAS	Molecule	MaxEStateIndex	MinEStateIndex	MaxAbsEStateIndex	MinAbsEStateIndex	qed	MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BCUT2D_MWHI	BCUT2D_MWLOW	BCUT2D_CHGHI	BCUT2D_CHGLO	BCUT2D_LOGPHI	BCUT2D_LOGPLOW	BCUT2D_MRHI	BCUT2D_MRLOW	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	MolLogP	MolMR	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	NumAmideBonds	NumSpiroAtoms	NumBridgeheadAtoms
698-10-2	CCC1OC(=O)C(O)=C1C	10.623703703703704	-0.5931944444444446	10.623703703703704	0.20138888888888928	0.558502764104784	142.15399999999997	132.07399999999998	142.06299418	56	0	0.3735607304762722	-0.5017669245233873	0.5017669245233873	0.3735607304762722	1.7	2.3	2.5	16.561216895083938	10.1218931612178	2.288044319396065	-2.048323855771545	2.214362770895991	-2.0778471133378864	5.889305454213479	-0.14167321734422808	2.830522023715416	193.02790021234802	7.723614639131599	6.048167226803858	6.048167226803858	4.663902460147014	3.271587554854582	3.271587554854582	2.3338183409654403	2.3338183409654403	1.6699217815006693	1.6699217815006693	0.9764067133838215	0.9764067133838215	-0.9900000000000001	201.34911625101472	7.120987791342951	2.3254872294179196	0.8751013115707085	59.302770610242355	9.843390348640755	6.103966387748303	0.0	5.759164871656176	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	6.923737199690624	13.344558822616634	5.573104530069267	0.0	14.637927532712576	5.969305287951849	0.0	0.0	0.0	26.37226241005556	0.0	11.332269401725444	0.0	0.0	0.0	0.0	0.0	0.0	17.17979907054086	9.53140013787187	0.0	20.268296022307258	11.332269401725444	0.0	0.0	0.0	46.53	5.969305287951849	4.794537184071822	0.0	11.86313125940448	5.573104530069267	6.4208216229260096	0.0	6.923737199690624	6.923737199690624	0.0	9.843390348640755	4.7719907407407405	0.0	10.623703703703704	8.972824074074074	0.6458333333333335	-0.8090740740740741	0.0	0.5224537037037035	3.605601851851852	0.0	0.5714285714285714	10	1	3	0	1	1	0	0	0	3	1	3	1	0	0	0	1	1.1538	35.49979999999999	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98-86-2	CC(=O)c1ccccc1	10.64537037037037	0.12092592592592633	10.64537037037037	0.12092592592592633	0.5170467542625542	120.15099999999995	112.08699999999997	120.057514876	46	0	0.15929849657429365	-0.2945122071568907	0.2945122071568907	0.15929849657429365	1.2222222222222223	1.7777777777777777	2.111111111111111	16.137391260156598	10.154360743614632	1.9227125119501591	-1.8898985040785958	1.969861928411889	-1.881047751982691	5.933640770576842	0.10129919055383087	2.981454614041131	201.06743705866424	6.69023444431199	5.294999636411993	5.294999636411993	4.304530452640311	2.864807747754891	2.864807747754891	1.9222116216323364	1.9222116216323364	1.1803153331412106	1.1803153331412106	0.672860900963318	0.672860900963318	-1.11	129.22533870330605	6.016742712294044	2.4437525520871133	1.3892524797182944	54.32280944833394	0.0	0.0	5.783244946364939	0.0	0.0	0.0	4.794537184071822	0.0	0.0	0.0	30.33183534230805	6.923737199690624	5.563451491696996	0.0	4.794537184071822	5.783244946364939	0.0	0.0	0.0	6.923737199690624	0.0	35.89528683400505	0.0	0.0	0.0	0.0	0.0	0.0	5.783244946364939	0.0	0.0	17.28172587545944	30.33183534230805	0.0	0.0	0.0	17.07	0.0	4.794537184071822	0.0	5.783244946364939	0.0	5.563451491696996	0.0	6.923737199690624	30.33183534230805	0.0	0.0	0.0	0.0	10.64537037037037	0.0	0.7754629629629632	0.12092592592592633	9.226759259259257	0.0	1.5648148148148149	0.0	0.125	9	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1.8892	36.44650000000001	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122-62-9	CC(=O)c1ccccn1	10.58287037037037	0.009814814814815165	10.58287037037037	0.009814814814815165	0.5237435952028574	121.13899999999997	114.08299999999998	121.052763844	46	0	0.1775947212253704	-0.29277323645381376	0.29277323645381376	0.1775947212253704	1.5555555555555556	2.3333333333333335	2.6666666666666665	16.137896193635182	10.270369710691822	1.9439324348575875	-1.8802975180429053	1.9173937656808666	-1.929855964503835	5.913702172531948	0.1008374226882127	2.981454614041131	205.415952604261	6.69023444431199	5.164862962722325	5.164862962722325	4.304530452640311	2.724604967323885	2.724604967323885	1.7711641183938576	1.7711641183938576	1.0256023838085773	1.0256023838085773	0.5710149307546392	0.5710149307546392	-1.1800000000000002	129.22533870330605	5.947877237851663	2.3955617406597787	1.3533930115039927	53.542457429280454	0.0	5.693927994848461	5.783244946364939	0.0	0.0	0.0	9.77851570501903	0.0	0.0	0.0	6.06636706846161	12.13273413692322	13.1205807713037	0.0	4.794537184071822	5.783244946364939	0.0	4.9839785209472085	0.0	6.923737199690624	0.0	30.089872771846366	0.0	0.0	0.0	0.0	0.0	0.0	10.767223467312148	0.0	0.0	17.412202378610907	24.395944776997908	0.0	0.0	0.0	29.96	0.0	4.794537184071822	0.0	5.783244946364939	5.693927994848461	0.0	6.923737199690624	24.395944776997908	0.0	4.9839785209472085	0.0	0.0	0.0	14.411574074074075	0.0	0.5254629629629632	0.009814814814815165	5.276296296296296	1.6078703703703703	1.5023148148148149	0.0	0.14285714285714285	9	0	2	0	0	0	0	1	1	2	0	2	1	0	0	0	1	1.2842	34.2415	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141-13-9	CC(C)=CCCC(C)CCCC(C)C=O	10.41978897990938	0.24535378348870407	10.41978897990938	0.24535378348870407	0.4291528985414637	210.361	184.15299999999996	210.198365452	88	0	0.12229184607934215	-0.30310058874567714	0.30310058874567714	0.12229184607934215	1.1333333333333333	1.8	2.3333333333333335	16.129330320186973	9.95488902287367	2.032925261716539	-2.1010455307839093	2.162886750688271	-1.9877861366888105	5.519714994797134	-0.11037333572303545	3.4467136036017445	189.51538124536236	11.681798275874712	10.753183273155106	10.753183273155106	7.0577493102643665	6.145404428558366	6.145404428558366	5.008266706597288	5.008266706597288	2.8007489841596596	2.8007489841596596	1.6571933319907397	1.6571933319907397	-0.5900000000000001	1478.9391756880973	14.409999999999998	8.696951805316168	9.708284862043252	94.95541758284497	4.794537184071822	6.286160523129555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.33824228213642	39.02784531432067	5.917906046161393	0.0	4.794537184071822	6.286160523129555	0.0	0.0	11.835812092322787	59.79905691339255	0.0	11.64912463690315	0.0	0.0	0.0	0.0	0.0	0.0	6.286160523129555	4.794537184071822	11.835812092322787	59.79905691339255	11.64912463690315	0.0	0.0	0.0	17.07	0.0	4.794537184071822	0.0	5.917906046161393	0.0	18.624888192216957	31.256391021773304	0.0	6.923737199690624	26.847231705905752	0.0	0.0	0.0	10.41978897990938	0.0	1.413682507450996	1.036513080540858	0.0	9.354106119299571	8.609242646132527	0.0	0.7857142857142857	15	0	1	0	0	0	0	0	0	1	0	1	8	0	0	0	0	4.374200000000004	66.90800000000004	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77-83-8	CCOC(=O)C1OC1(C)c1ccccc1	11.447044595616024	-0.4925462962962963	11.447044595616024	0.2742101284958427	0.5594241086868413	206.24099999999999	192.12899999999996	206.094294308	80	0	0.33820895192166495	-0.46396947742656935	0.46396947742656935	0.33820895192166495	1.4666666666666666	2.1333333333333333	2.7333333333333334	16.651449054458073	9.974996232691513	2.5866835437042046	-2.052109715452033	2.457339608097823	-2.1821981287673076	5.793299828606468	-0.14411148281900055	2.102105018788475	360.389798120526	10.88890505706126	8.895953267715893	8.895953267715893	7.181687205347859	5.081890483585256	5.081890483585256	3.723014707234063	3.723014707234063	2.65341664253509	2.65341664253509	1.6902474249506105	1.6902474249506105	-1.35	4745.072002244203	10.177437710398491	3.6629127575484435	1.7479962172089583	89.00383721140493	9.473725907600098	5.601050810983688	6.103966387748303	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	30.33183534230805	19.410925891078243	0.0	6.606881964512918	14.268263091671919	5.969305287951849	0.0	0.0	0.0	25.55249159811324	6.606881964512918	35.89528683400505	0.0	0.0	0.0	0.0	0.0	0.0	18.68015364021307	19.869313902655605	0.0	19.410925891078243	30.33183534230805	0.0	0.0	0.0	38.83	11.70501719873199	4.794537184071822	0.0	5.969305287951849	6.606881964512918	5.563451491696996	0.0	6.923737199690624	37.255572541998674	0.0	9.473725907600098	10.34912958238851	0.0	11.447044595616024	0.0	0.524169501133787	-0.2742101284958427	9.72422343474427	-0.4445833333333338	4.090893014613252	0.0	0.4166666666666667	15	0	3	0	1	1	1	0	1	3	0	3	3	0	1	1	2	1.8637	55.30000000000003	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104-61-0	CCCCCC1CCC(=O)O1	10.66393857079869	-0.007871787603930258	10.66393857079869	0.007871787603930258	0.46076187240222155	156.225	140.09699999999998	156.115029752	64	0	0.3056979856420458	-0.4623451259281576	0.4623451259281576	0.3056979856420458	1.5454545454545454	2.3636363636363638	2.909090909090909	16.548392679046387	10.091004295021989	2.214808812998653	-2.0644147902263277	2.1849899746020234	-2.053707840740448	5.708836270895841	-0.14112286667339258	2.0359306195731133	131.52442279202947	8.104448006685086	7.136487537236638	7.136487537236638	5.325698502695489	4.521107303566926	4.521107303566926	3.1463251164302233	3.1463251164302233	2.0982023216463905	2.0982023216463905	1.407854010376527	1.407854010376527	-0.53	423.60127170130585	8.565510983763133	4.369018590889185	2.9124333212632876	67.92802411902383	4.736862953800049	6.103966387748303	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	19.765380445542643	19.26246486877803	6.4208216229260096	0.0	9.53140013787187	5.969305287951849	0.0	0.0	0.0	51.552633324994986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.073271675700152	9.53140013787187	0.0	45.448666937246685	0.0	0.0	0.0	0.0	26.3	0.0	4.794537184071822	0.0	12.073271675700152	6.4208216229260096	12.841643245852019	19.26246486877803	0.0	0.0	6.923737199690624	4.736862953800049	5.068945578231292	0.0	10.66393857079869	0.0	0.0	-0.007871787603930258	0.0	6.593779289493575	2.181208349080373	0.0	0.8888888888888888	11	0	2	0	1	1	0	0	0	2	0	2	4	0	1	1	1	2.2723000000000004	43.256000000000014	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
123-68-2	C=CCOC(=O)CCCCC	10.806763038548752	-0.11263888888888851	10.806763038548752	0.11263888888888851	0.3348650134513954	156.225	140.09699999999998	156.115029752	64	0	0.30559416524115945	-0.46145364141855233	0.46145364141855233	0.30559416524115945	1.5454545454545454	2.272727272727273	2.8181818181818183	16.532049530096966	10.19057490989727	1.9858998992239232	-1.9924828870602678	1.9943757322801123	-2.0295981419912392	5.688141055632201	-0.1420239107780916	3.1510083529427266	118.73114066028502	8.52709773749546	7.136487537236638	7.136487537236638	5.308060412490447	4.074080177766223	4.074080177766223	2.4287946176735797	2.4287946176735797	1.346626332367778	1.346626332367778	0.743378172015856	0.743378172015856	-0.79	259.80449914949315	10.21	7.318577633007602	7.103033213113149	68.24425224036881	4.736862953800049	6.606881964512918	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	32.42033623597502	6.4208216229260096	6.4208216229260096	0.0	9.53140013787187	5.969305287951849	0.0	0.0	0.0	32.60702369139466	6.606881964512918	12.654955790432378	0.0	0.0	0.0	0.0	0.0	0.0	12.576187252464766	9.53140013787187	0.0	32.60702369139466	12.654955790432378	0.0	0.0	0.0	26.3	0.0	4.794537184071822	0.0	5.969305287951849	13.027703587438928	19.26246486877803	0.0	6.076020106833881	0.0	13.502672883289122	4.736862953800049	4.780751133786849	0.0	10.806763038548752	0.0	0.0	-0.11263888888888851	0.0	5.295440995842782	5.896350387377173	0.0	0.6666666666666666	11	0	2	0	0	0	0	0	0	2	0	2	6	0	0	0	0	2.2959000000000005	45.29800000000002	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
123-92-2	CC(=O)OCCC(C)C	10.203016817838247	-0.18458333333333288	10.203016817838247	0.18458333333333288	0.5422095914375367	130.18699999999998	116.07499999999999	130.099379688	54	0	0.302123037200498	-0.46586693130001083	0.46586693130001083	0.302123037200498	1.5555555555555556	2.111111111111111	2.4444444444444446	16.53148886884726	10.14784849230633	1.9444826306756808	-2.0246988032162574	1.977423915337474	-2.023183301606784	5.653214887751465	-0.14073762228102524	3.006105030052141	86.91694057588535	7.276020881938894	6.308060412490447	6.308060412490447	4.125897657686229	3.2598722539017904	3.2598722539017904	2.5225653210386993	2.5225653210386993	1.0005266043996348	1.0005266043996348	0.4383565647770273	0.4383565647770273	-0.53	65.1469510314125	8.470000000000002	4.3587538349811625	7.470000000000003	56.20397104375984	4.736862953800049	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	13.847474399381248	12.338727669087403	6.923737199690624	6.606881964512918	9.53140013787187	5.969305287951849	0.0	0.0	5.917906046161393	27.19203322199788	6.606881964512918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.576187252464766	9.53140013787187	5.917906046161393	27.19203322199788	0.0	0.0	0.0	0.0	26.3	0.0	4.794537184071822	0.0	5.969305287951849	12.52478801067431	6.4208216229260096	6.923737199690624	0.0	0.0	13.847474399381248	4.736862953800049	4.71375	0.0	10.203016817838247	0.0	0.0	0.4305555555555558	0.0	0.9579166666666666	6.194760959939531	0.0	0.8571428571428571	9	0	2	0	0	0	0	0	0	2	0	2	3	0	0	0	0	1.5956000000000001	36.087999999999994	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
540-18-1	CCCCCOC(=O)CCC	10.783981009070295	-0.0522193877551016	10.783981009070295	0.0522193877551016	0.43831506956995364	158.24099999999996	140.09699999999998	158.130679816	66	0	0.3052668954667954	-0.4656751326557105	0.4656751326557105	0.3052668954667954	1.1818181818181819	1.9090909090909092	2.4545454545454546	16.532341109067065	10.255059714293008	1.9785186647225825	-2.012813193400844	1.9638279736619557	-2.0411051091173418	5.686301449365037	-0.14330703060736102	3.040425665876032	99.73585546369786	8.52709773749546	7.559137268047012	7.559137268047012	5.308060412490447	4.464690378025045	4.464690378025045	2.6775769616440317	2.6775769616440317	1.465064813453422	1.465064813453422	0.8143592354606735	0.8143592354606735	-0.53	254.60129569772985	10.47	7.575596620908132	7.365875295682101	68.93385527255305	4.736862953800049	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	26.689117645233267	12.841643245852019	6.4208216229260096	6.606881964512918	9.53140013787187	5.969305287951849	0.0	0.0	0.0	45.95158251401129	6.606881964512918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.576187252464766	9.53140013787187	0.0	45.95158251401129	0.0	0.0	0.0	0.0	26.3	0.0	4.794537184071822	0.0	5.969305287951849	13.027703587438928	19.26246486877803	6.4208216229260096	0.0	6.923737199690624	6.923737199690624	4.736862953800049	4.945555555555556	0.0	10.783981009070295	0.0	0.0	-0.0522193877551016	0.0	4.773237748803225	4.716111740992693	0.0	0.8888888888888888	11	0	2	0	0	0	0	0	0	2	0	2	6	0	0	0	0	2.5199000000000007	45.39200000000002	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
60763-41-9	CCCCC/C(=C\c1ccccc1)C(OCC)OCC	5.75692507558579	-0.20642384731670482	5.75692507558579	0.20642384731670482	0.4395972622921049	276.42	248.19599999999994	276.208930136	112	0	0.17954067420331893	-0.34898650843623175	0.34898650843623175	0.17954067420331893	1.0	1.65	2.2	16.677007505063195	10.035073791320844	2.138600178956636	-2.204048309829956	2.2015097361584126	-2.1981873630809563	5.528120904801089	-0.11187133755732699	2.837712550013319	364.26442904257175	14.631545744180547	13.100589152374395	13.100589152374395	9.812391710140018	7.800337530440972	7.800337530440972	4.829653815920856	4.829653815920856	3.159471978155112	3.159471978155112	2.1654637071986356	2.1654637071986356	-1.12	32190.90332504583	16.932966101694916	10.641865451908197	6.355429338595204	123.34819591908575	9.473725907600098	0.0	6.290026729335213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.173235894684574	37.82567366699953	13.213763929025836	0.0	9.473725907600098	6.076020106833881	0.0	0.0	0.0	52.74452482011111	13.213763929025836	41.468391364074314	0.0	0.0	0.0	0.0	0.0	0.0	19.503790658361048	9.473725907600098	0.0	52.017949582472895	35.90493987237732	0.0	6.076020106833881	0.0	18.46	0.0	0.0	0.0	6.290026729335213	13.213763929025836	6.4208216229260096	30.399020890544293	0.0	19.913841467842857	37.265225580370945	9.473725907600098	11.51385015117158	0.0	0.0	0.0	2.4553283257747545	0.0	10.400720820735703	6.704802610859158	7.591964758125473	0.0	0.5555555555555556	20	0	2	0	0	0	1	0	1	2	0	2	10	0	0	0	1	5.049400000000005	85.60100000000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
